Month,Year,Team A,Team B,Ground,Won,Team A Won,Trim Team A,Trim Team B
January,1996,South Africa ,England,St George's Park,South Africa ,1,South Africa,England
January,1996,South Africa ,England,SuperSport Park,South Africa ,1,South Africa,England
January,1996,Australia ,West Indies,Sydney Cricket Ground,Australia ,1,Australia,West Indies
January,1996,Australia ,Sri Lanka,Sydney Cricket Ground,Australia ,1,Australia,Sri Lanka
December,1996,Australia ,West Indies,Sydney Cricket Ground,Australia ,1,Australia,West Indies
September,1996,England ,Pakistan,Trent Bridge,Pakistan ,0,England,Pakistan
January,1996,Australia ,Sri Lanka,WACA Ground,Australia ,1,Australia,Sri Lanka
January,1996,Sri Lanka ,West Indies,WACA Ground,Sri Lanka ,1,Sri Lanka,West Indies
January,1996,South Africa ,England,Wanderers Stadium,South Africa ,1,South Africa,England
February,1996,India ,Australia,Wankhede Stadium,Australia ,0,India,Australia
November,1996,India ,South Africa,Wankhede Stadium,India ,1,India,South Africa
December,1996,India ,South Africa,Wankhede Stadium,India ,1,India,South Africa
December,1997,New Zealand ,South Africa,Adelaide Oval,New Zealand ,1,New Zealand,South Africa
December,1997,Australia ,New Zealand,Adelaide Oval,Australia ,1,Australia,New Zealand
February,1997,New Zealand ,England,AMI Stadium,England ,0,New Zealand,England
March,1997,New Zealand ,Sri Lanka,AMI Stadium,Sri Lanka ,0,New Zealand,Sri Lanka
April,1997,West Indies ,India,Arnos Vale Ground,West Indies ,1,West Indies,India
March,1997,New Zealand ,England,Basin Reserve,New Zealand ,1,New Zealand,England
March,1997,New Zealand ,Sri Lanka,Basin Reserve,New Zealand ,1,New Zealand,Sri Lanka
January,1997,Australia ,Pakistan,Bellerive Oval,Pakistan ,0,Australia,Pakistan
December,1997,New Zealand ,South Africa,Bellerive Oval,South Africa ,0,New Zealand,South Africa
January,1997,Pakistan ,West Indies,Brisbane Cricket Ground,West Indies ,0,Pakistan,West Indies
January,1997,Australia ,West Indies,Brisbane Cricket Ground,West Indies ,0,Australia,West Indies
February,1997,South Africa ,India,Buffalo Park,South Africa ,1,South Africa,India
March,1997,South Africa ,Australia,Buffalo Park,South Africa ,1,South Africa,Australia
May,1997,Pakistan ,Sri Lanka,Captain Roop Singh Stadium,Pakistan ,1,Pakistan,Sri Lanka
September,1997,India ,Pakistan,"Cricket, Skating & Curling Club",India ,1,India,Pakistan
September,1997,India ,Pakistan,"Cricket, Skating & Curling Club",India ,1,India,Pakistan
September,1997,India ,Pakistan,"Cricket, Skating & Curling Club",India ,1,India,Pakistan
September,1997,India ,Pakistan,"Cricket, Skating & Curling Club",India ,1,India,Pakistan
September,1997,India ,Pakistan,"Cricket, Skating & Curling Club",Pakistan ,0,India,Pakistan
May,1997,Pakistan ,Sri Lanka,Eden Gardens,Sri Lanka ,0,Pakistan,Sri Lanka
February,1997,New Zealand ,England,Eden Park,England ,0,New Zealand,England
March,1997,New Zealand ,England,Eden Park,New Zealand ,1,New Zealand,England
October,1997,Pakistan ,India,Gaddafi Stadium,Pakistan ,1,Pakistan,India
November,1997,Sri Lanka ,West Indies,Gaddafi Stadium,Sri Lanka ,1,Sri Lanka,West Indies
November,1997,Pakistan ,South Africa,Gaddafi Stadium,South Africa ,0,Pakistan,South Africa
November,1997,South Africa ,West Indies,Gaddafi Stadium,South Africa ,1,South Africa,West Indies
November,1997,Pakistan ,West Indies,Gaddafi Stadium,Pakistan ,1,Pakistan,West Indies
November,1997,Pakistan ,Sri Lanka,Gaddafi Stadium,Sri Lanka ,0,Pakistan,Sri Lanka
November,1997,South Africa ,Sri Lanka,Gaddafi Stadium,South Africa ,1,South Africa,Sri Lanka
November,1997,South Africa ,Sri Lanka,Gaddafi Stadium,South Africa ,1,South Africa,Sri Lanka
May,1997,England ,Australia,Headingley,England ,1,England,Australia
May,1997,England ,Australia,Kennington Oval,England ,1,England,Australia
May,1997,West Indies ,India,Kensington Oval,West Indies ,1,West Indies,India
February,1997,South Africa ,India,Kingsmead,South Africa ,1,South Africa,India
April,1997,South Africa ,Australia,Kingsmead,Australia ,0,South Africa,Australia
May,1997,New Zealand ,Sri Lanka,Lal Bahadur Shastri Stadium,Sri Lanka ,0,New Zealand,Sri Lanka
May,1997,England ,Australia,Lord's,England ,1,England,Australia
May,1997,India ,New Zealand,M Chinnaswamy Stadium,India ,1,India,New Zealand
May,1997,India ,Pakistan,MA Chidambaram Stadium,Pakistan ,0,India,Pakistan
January,1997,South Africa ,India,Mangaung Oval,South Africa ,1,South Africa,India
April,1997,South Africa ,Australia,Mangaung Oval,South Africa ,1,South Africa,Australia
January,1997,Australia ,Pakistan,Melbourne Cricket Ground,Australia ,1,Australia,Pakistan
January,1997,Pakistan ,West Indies,Melbourne Cricket Ground,Pakistan ,1,Pakistan,West Indies
December,1997,Australia ,South Africa,Melbourne Cricket Ground,South Africa ,0,Australia,South Africa
December,1997,Australia ,New Zealand,Melbourne Cricket Ground,Australia ,1,Australia,New Zealand
September,1997,Pakistan ,India,National Stadium,India ,0,Pakistan,India
December,1997,India ,Sri Lanka,Nehru Stadium ,India ,1,India,Sri Lanka
December,1997,India ,Sri Lanka,Nehru Stadium ,Sri Lanka ,0,India,Sri Lanka
April,1997,South Africa ,Australia,Newlands,South Africa ,1,South Africa,Australia
September,1997,Pakistan ,India,Niaz Stadium,Pakistan ,1,Pakistan,India
May,1997,New Zealand ,Pakistan,Punjab Cricket Association IS Bindra Stadium,New Zealand ,1,New Zealand,Pakistan
May,1997,Pakistan ,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,Sri Lanka ,0,Pakistan,Sri Lanka
April,1997,West Indies ,India,Queen's Park Oval,West Indies ,1,West Indies,India
April,1997,West Indies ,India,Queen's Park Oval,India ,0,West Indies,India
June,1997,West Indies ,Sri Lanka,Queen's Park Oval,West Indies ,1,West Indies,Sri Lanka
July,1997,Sri Lanka ,Pakistan,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,Pakistan
July,1997,Bangladesh ,Pakistan,R Premadasa Stadium,Pakistan ,0,Bangladesh,Pakistan
July,1997,Sri Lanka ,India,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,India
July,1997,Sri Lanka ,India,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,India
August,1997,Sri Lanka ,India,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,India
August,1997,Sri Lanka ,India,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,India
December,1997,England ,India,Sharjah Cricket Stadium,England ,1,England,India
December,1997,England ,West Indies,Sharjah Cricket Stadium,England ,1,England,West Indies
December,1997,England ,Pakistan,Sharjah Cricket Stadium,England ,1,England,Pakistan
December,1997,England ,West Indies,Sharjah Cricket Stadium,England ,1,England,West Indies
April,1997,Pakistan ,Sri Lanka,Sharjah Cricket Stadium,Sri Lanka ,0,Pakistan,Sri Lanka
April,1997,Pakistan ,Sri Lanka,Sharjah Cricket Stadium,Sri Lanka ,0,Pakistan,Sri Lanka
April,1997,Pakistan ,Sri Lanka,Sharjah Cricket Stadium,Sri Lanka ,0,Pakistan,Sri Lanka
December,1997,Pakistan ,West Indies,Sharjah Cricket Stadium,West Indies ,0,Pakistan,West Indies
December,1997,India ,Pakistan,Sharjah Cricket Stadium,Pakistan ,0,India,Pakistan
December,1997,India ,West Indies,Sharjah Cricket Stadium,West Indies ,0,India,West Indies
July,1997,Sri Lanka ,Bangladesh,Sinhalese Sports Club Ground,Sri Lanka ,1,Sri Lanka,Bangladesh
July,1997,Bangladesh ,India,Sinhalese Sports Club Ground,India ,0,Bangladesh,India
August,1997,Sri Lanka ,India,Sinhalese Sports Club Ground,Sri Lanka ,1,Sri Lanka,India
February,1997,South Africa ,India,St George's Park,South Africa ,1,South Africa,India
March,1997,South Africa ,Australia,St George's Park,Australia ,0,South Africa,Australia
April,1997,South Africa ,Australia,SuperSport Park,Australia ,0,South Africa,Australia
January,1997,Australia ,Pakistan,Sydney Cricket Ground,Pakistan ,0,Australia,Pakistan
January,1997,Pakistan ,West Indies,Sydney Cricket Ground,Pakistan ,1,Pakistan,West Indies
January,1997,Pakistan ,West Indies,Sydney Cricket Ground,Pakistan ,1,Pakistan,West Indies
December,1997,Australia ,South Africa,Sydney Cricket Ground,South Africa ,0,Australia,South Africa
January,1997,Pakistan ,West Indies,WACA Ground,West Indies ,0,Pakistan,West Indies
January,1997,Australia ,West Indies,WACA Ground,West Indies ,0,Australia,West Indies
April,1997,South Africa ,Australia,Wanderers Stadium,Australia ,0,South Africa,Australia
May,1997,India ,Sri Lanka,Wankhede Stadium,Sri Lanka ,0,India,Sri Lanka
February,1998,New Zealand ,Australia,AMI Stadium,Australia ,0,New Zealand,Australia
November,1998,Pakistan ,Australia,Arbab Niaz Stadium,Australia ,0,Pakistan,Australia
April,1998,West Indies ,England,Arnos Vale Ground,West Indies ,1,West Indies,England
April,1998,West Indies ,England,Arnos Vale Ground,West Indies ,1,West Indies,England
January,1998,Bangladesh ,India,Bangabandhu National Stadium,India ,0,Bangladesh,India
January,1998,India ,Pakistan,Bangabandhu National Stadium,India ,1,India,Pakistan
January,1998,Bangladesh ,Pakistan,Bangabandhu National Stadium,Pakistan ,0,Bangladesh,Pakistan
January,1998,India ,Pakistan,Bangabandhu National Stadium,India ,1,India,Pakistan
January,1998,India ,Pakistan,Bangabandhu National Stadium,Pakistan ,0,India,Pakistan
January,1998,India ,Pakistan,Bangabandhu National Stadium,India ,1,India,Pakistan
October,1998,England ,South Africa,Bangabandhu National Stadium,South Africa ,0,England,South Africa
October,1998,New Zealand ,Sri Lanka,Bangabandhu National Stadium,Sri Lanka ,0,New Zealand,Sri Lanka
October,1998,Australia ,India,Bangabandhu National Stadium,India ,0,Australia,India
October,1998,Pakistan ,West Indies,Bangabandhu National Stadium,West Indies ,0,Pakistan,West Indies
October,1998,South Africa ,Sri Lanka,Bangabandhu National Stadium,South Africa ,1,South Africa,Sri Lanka
October,1998,India ,West Indies,Bangabandhu National Stadium,West Indies ,0,India,West Indies
November,1998,South Africa ,West Indies,Bangabandhu National Stadium,South Africa ,1,South Africa,West Indies
February,1998,New Zealand ,Australia,Basin Reserve,Australia ,0,New Zealand,Australia
April,1998,Pakistan ,Sri Lanka,Boland Park,Pakistan ,1,Pakistan,Sri Lanka
January,1998,New Zealand ,South Africa,Brisbane Cricket Ground,South Africa ,0,New Zealand,South Africa
January,1998,Australia ,South Africa,Brisbane Cricket Ground,South Africa ,0,Australia,South Africa
April,1998,South Africa ,Pakistan,Buffalo Park,South Africa ,1,South Africa,Pakistan
September,1998,India ,Pakistan,"Cricket, Skating & Curling Club",India ,1,India,Pakistan
September,1998,India ,Pakistan,"Cricket, Skating & Curling Club",Pakistan ,0,India,Pakistan
September,1998,India ,Pakistan,"Cricket, Skating & Curling Club",Pakistan ,0,India,Pakistan
September,1998,India ,Pakistan,"Cricket, Skating & Curling Club",Pakistan ,0,India,Pakistan
September,1998,India ,Pakistan,"Cricket, Skating & Curling Club",Pakistan ,0,India,Pakistan
April,1998,Pakistan ,Sri Lanka,Diamond Oval,Pakistan ,1,Pakistan,Sri Lanka
February,1998,New Zealand ,Australia,Eden Park,New Zealand ,1,New Zealand,Australia
August,1998,England ,South Africa,Edgbaston,South Africa ,0,England,South Africa
April,1998,India ,Australia,Feroz Shah Kotla,Australia ,0,India,Australia
November,1998,Pakistan ,Australia,Gaddafi Stadium,Australia ,0,Pakistan,Australia
April,1998,India ,Australia,Green Park,India ,1,India,Australia
May,1998,England ,South Africa,Headingley,England ,1,England,South Africa
May,1998,England ,South Africa,Kennington Oval,South Africa ,0,England,South Africa
March,1998,West Indies ,England,Kensington Oval,England ,0,West Indies,England
April,1998,West Indies ,England,Kensington Oval,West Indies ,1,West Indies,England
April,1998,South Africa ,Pakistan,Kingsmead,South Africa ,1,South Africa,Pakistan
August,1998,England ,Sri Lanka,Lord's,England ,1,England,Sri Lanka
August,1998,England ,Sri Lanka,Lord's,Sri Lanka ,0,England,Sri Lanka
April,1998,South Africa ,Sri Lanka,Mangaung Oval,South Africa ,1,South Africa,Sri Lanka
February,1998,New Zealand ,Australia,McLean Park,New Zealand ,1,New Zealand,Australia
January,1998,Australia ,New Zealand,Melbourne Cricket Ground,New Zealand ,0,Australia,New Zealand
January,1998,Australia ,South Africa,Melbourne Cricket Ground,South Africa ,0,Australia,South Africa
November,1998,Pakistan ,Australia,National Stadium,Australia ,0,Pakistan,Australia
April,1998,India ,Australia,Nehru Stadium ,India ,1,India,Australia
April,1998,South Africa ,Pakistan,Newlands,South Africa ,1,South Africa,Pakistan
May,1998,England ,South Africa,Old Trafford,South Africa ,0,England,South Africa
May,1998,India ,Bangladesh,Punjab Cricket Association IS Bindra Stadium,India ,1,India,Bangladesh
April,1998,West Indies ,England,Queen's Park Oval,West Indies ,1,West Indies,England
June,1998,Sri Lanka ,India,R Premadasa Stadium,India ,0,Sri Lanka,India
June,1998,Sri Lanka ,New Zealand,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,New Zealand
July,1998,Sri Lanka ,India,R Premadasa Stadium,India ,0,Sri Lanka,India
April,1998,India ,New Zealand,Sharjah Cricket Stadium,India ,1,India,New Zealand
April,1998,Australia ,New Zealand,Sharjah Cricket Stadium,Australia ,1,Australia,New Zealand
April,1998,Australia ,India,Sharjah Cricket Stadium,Australia ,1,Australia,India
April,1998,India ,New Zealand,Sharjah Cricket Stadium,New Zealand ,0,India,New Zealand
April,1998,Australia ,New Zealand,Sharjah Cricket Stadium,Australia ,1,Australia,New Zealand
April,1998,Australia ,India,Sharjah Cricket Stadium,Australia ,1,Australia,India
April,1998,Australia ,India,Sharjah Cricket Stadium,India ,0,Australia,India
November,1998,India ,Sri Lanka,Sharjah Cricket Stadium,India ,1,India,Sri Lanka
November,1998,India ,Sri Lanka,Sharjah Cricket Stadium,India ,1,India,Sri Lanka
July,1998,Sri Lanka ,India,Sinhalese Sports Club Ground,Sri Lanka ,1,Sri Lanka,India
July,1998,Sri Lanka ,New Zealand,Sinhalese Sports Club Ground,Sri Lanka ,1,Sri Lanka,New Zealand
April,1998,South Africa ,Sri Lanka,St George's Park,Sri Lanka ,0,South Africa,Sri Lanka
April,1998,South Africa ,Pakistan,SuperSport Park,South Africa ,1,South Africa,Pakistan
January,1998,Australia ,New Zealand,Sydney Cricket Ground,Australia ,1,Australia,New Zealand
January,1998,Australia ,South Africa,Sydney Cricket Ground,Australia ,1,Australia,South Africa
January,1998,Australia ,South Africa,Sydney Cricket Ground,Australia ,1,Australia,South Africa
August,1998,South Africa ,Sri Lanka,Trent Bridge,Sri Lanka ,0,South Africa,Sri Lanka
January,1998,New Zealand ,South Africa,WACA Ground,South Africa ,0,New Zealand,South Africa
January,1998,Australia ,South Africa,WACA Ground,South Africa ,0,Australia,South Africa
April,1998,South Africa ,Sri Lanka,Wanderers Stadium,South Africa ,1,South Africa,Sri Lanka
May,1998,India ,Bangladesh,Wankhede Stadium,India ,1,India,Bangladesh
April,1998,Pakistan ,Sri Lanka,Willowmoore Park,Sri Lanka ,0,Pakistan,Sri Lanka
January,1999,England ,Sri Lanka,Adelaide Oval,Sri Lanka ,0,England,Sri Lanka
January,1999,Australia ,Sri Lanka,Adelaide Oval,Australia ,1,Australia,Sri Lanka
January,1999,Australia ,England,Adelaide Oval,Australia ,1,Australia,England
January,1999,New Zealand ,India,AMI Stadium,New Zealand ,1,New Zealand,India
February,1999,New Zealand ,South Africa,AMI Stadium,South Africa ,0,New Zealand,South Africa
April,1999,West Indies ,Australia,Arnos Vale Ground,West Indies ,1,West Indies,Australia
March,1999,Bangladesh ,Pakistan,Bangabandhu National Stadium,Pakistan ,0,Bangladesh,Pakistan
October,1999,Bangladesh ,West Indies,Bangabandhu National Stadium,West Indies ,0,Bangladesh,West Indies
October,1999,Bangladesh ,West Indies,Bangabandhu National Stadium,West Indies ,0,Bangladesh,West Indies
January,1999,Australia ,Sri Lanka,Bellerive Oval,Sri Lanka ,0,Australia,Sri Lanka
January,1999,Australia ,England,Brisbane Cricket Ground,England ,0,Australia,England
January,1999,England ,Sri Lanka,Brisbane Cricket Ground,England ,1,England,Sri Lanka
January,1999,South Africa ,West Indies,Buffalo Park,West Indies ,0,South Africa,West Indies
November,1999,India ,New Zealand,Captain Roop Singh Stadium,India ,1,India,New Zealand
February,1999,New Zealand ,South Africa,Carisbrook,New Zealand ,1,New Zealand,South Africa
May,1999,Bangladesh ,West Indies,Castle Avenue,West Indies ,0,Bangladesh,West Indies
May,1999,Pakistan ,West Indies,County Ground ,Pakistan ,1,Pakistan,West Indies
May,1999,Bangladesh ,New Zealand,County Ground ,New Zealand ,0,Bangladesh,New Zealand
May,1999,New Zealand ,Pakistan,County Ground ,Pakistan ,0,New Zealand,Pakistan
May,1999,India ,South Africa,County Ground ,South Africa ,0,India,South Africa
May,1999,South Africa ,Sri Lanka,County Ground ,South Africa ,1,South Africa,Sri Lanka
May,1999,Bangladesh ,Pakistan,County Ground ,Bangladesh ,1,Bangladesh,Pakistan
May,1999,New Zealand ,West Indies,County Ground ,West Indies ,0,New Zealand,West Indies
May,1999,India ,Sri Lanka,County Ground ,India ,1,India,Sri Lanka
September,1999,India ,West Indies,"Cricket, Skating & Curling Club",India ,1,India,West Indies
September,1999,India ,West Indies,"Cricket, Skating & Curling Club",West Indies ,0,India,West Indies
September,1999,India ,West Indies,"Cricket, Skating & Curling Club",India ,1,India,West Indies
September,1999,Pakistan ,West Indies,"Cricket, Skating & Curling Club",Pakistan ,1,Pakistan,West Indies
September,1999,Pakistan ,West Indies,"Cricket, Skating & Curling Club",Pakistan ,1,Pakistan,West Indies
September,1999,Pakistan ,West Indies,"Cricket, Skating & Curling Club",Pakistan ,1,Pakistan,West Indies
January,1999,New Zealand ,India,Eden Park,India ,0,New Zealand,India
February,1999,New Zealand ,South Africa,Eden Park,New Zealand ,1,New Zealand,South Africa
March,1999,New Zealand ,South Africa,Eden Park,South Africa ,0,New Zealand,South Africa
May,1999,England ,India,Edgbaston,India ,0,England,India
June,1999,New Zealand ,South Africa,Edgbaston,South Africa ,0,New Zealand,South Africa
November,1999,India ,New Zealand,Feroz Shah Kotla,India ,1,India,New Zealand
August,1999,Sri Lanka ,Australia,Galle International Stadium,Australia ,0,Sri Lanka,Australia
August,1999,Australia ,India,Galle International Stadium,Australia ,1,Australia,India
September,1999,India ,South Africa,Gymkhana Club Ground,India ,1,India,South Africa
October,1999,India ,South Africa,Gymkhana Club Ground,South Africa ,0,India,South Africa
May,1999,Australia ,Pakistan,Headingley,Pakistan ,0,Australia,Pakistan
June,1999,Australia ,South Africa,Headingley,Australia ,1,Australia,South Africa
March,1999,Pakistan ,Sri Lanka,Indira Priyadarshini Stadium,Sri Lanka ,0,Pakistan,Sri Lanka
September,1999,India ,West Indies,Kallang Ground,West Indies ,0,India,West Indies
September,1999,India ,West Indies,Kallang Ground,West Indies ,0,India,West Indies
March,1999,Pakistan ,Sri Lanka,Keenan Stadium,Pakistan ,1,Pakistan,Sri Lanka
May,1999,England ,South Africa,Kennington Oval,South Africa ,0,England,South Africa
June,1999,Australia ,India,Kennington Oval,Australia ,1,Australia,India
April,1999,West Indies ,Australia,Kensington Oval,Australia ,0,West Indies,Australia
April,1999,West Indies ,Australia,Kensington Oval,West Indies ,1,West Indies,Australia
January,1999,South Africa ,West Indies,Kingsmead,South Africa ,1,South Africa,West Indies
November,1999,India ,New Zealand,Lal Bahadur Shastri Stadium,India ,1,India,New Zealand
May,1999,England ,Sri Lanka,Lord's,England ,1,England,Sri Lanka
June,1999,Australia ,Pakistan,Lord's,Australia ,1,Australia,Pakistan
April,1999,India ,Pakistan,M Chinnaswamy Stadium,Pakistan ,0,India,Pakistan
November,1999,India ,New Zealand,Madhavrao Scindia Cricket Ground,New Zealand ,0,India,New Zealand
February,1999,South Africa ,West Indies,Mangaung Oval,South Africa ,1,South Africa,West Indies
January,1999,New Zealand ,India,McLean Park,India ,0,New Zealand,India
March,1999,New Zealand ,South Africa,McLean Park,South Africa ,0,New Zealand,South Africa
January,1999,England ,Sri Lanka,Melbourne Cricket Ground,England ,1,England,Sri Lanka
January,1999,Australia ,England,Melbourne Cricket Ground,Australia ,1,Australia,England
February,1999,Australia ,Sri Lanka,Melbourne Cricket Ground,Australia ,1,Australia,Sri Lanka
February,1999,Australia ,England,Melbourne Cricket Ground,Australia ,1,Australia,England
April,1999,West Indies ,Australia,National Cricket Stadium,Australia ,0,West Indies,Australia
November,1999,India ,New Zealand,Nehru Stadium ,New Zealand ,0,India,New Zealand
March,1999,India ,Sri Lanka,Nehru Stadium ,India ,1,India,Sri Lanka
February,1999,South Africa ,West Indies,Newlands,South Africa ,1,South Africa,West Indies
May,1999,Australia ,West Indies,Old Trafford,Australia ,1,Australia,West Indies
June,1999,India ,Pakistan,Old Trafford,India ,1,India,Pakistan
June,1999,New Zealand ,Pakistan,Old Trafford,Pakistan ,0,New Zealand,Pakistan
January,1999,New Zealand ,India,Owen Delany Park,New Zealand ,1,New Zealand,India
April,1999,India ,Pakistan,Punjab Cricket Association IS Bindra Stadium,Pakistan ,0,India,Pakistan
April,1999,West Indies ,Australia,Queen's Park Oval,West Indies ,1,West Indies,Australia
April,1999,West Indies ,Australia,Queen's Park Oval,Australia ,0,West Indies,Australia
August,1999,Sri Lanka ,India,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,India
August,1999,Sri Lanka ,Australia,R Premadasa Stadium,Australia ,0,Sri Lanka,Australia
August,1999,Sri Lanka ,Australia,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,Australia
May,1999,Australia ,Bangladesh,Riverside Ground,Australia ,1,Australia,Bangladesh
March,1999,India ,Pakistan,Sawai Mansingh Stadium,Pakistan ,0,India,Pakistan
April,1999,England ,Pakistan,Sharjah Cricket Stadium,England ,1,England,Pakistan
April,1999,England ,Pakistan,Sharjah Cricket Stadium,Pakistan ,0,England,Pakistan
April,1999,India ,Pakistan,Sharjah Cricket Stadium,Pakistan ,0,India,Pakistan
April,1999,England ,India,Sharjah Cricket Stadium,India ,0,England,India
April,1999,England ,India,Sharjah Cricket Stadium,India ,0,England,India
April,1999,India ,Pakistan,Sharjah Cricket Stadium,India ,1,India,Pakistan
April,1999,India ,Pakistan,Sharjah Cricket Stadium,Pakistan ,0,India,Pakistan
October,1999,Sri Lanka ,West Indies,Sharjah Cricket Stadium,West Indies ,0,Sri Lanka,West Indies
October,1999,Pakistan ,West Indies,Sharjah Cricket Stadium,Pakistan ,1,Pakistan,West Indies
October,1999,Sri Lanka ,West Indies,Sharjah Cricket Stadium,Sri Lanka ,1,Sri Lanka,West Indies
October,1999,Pakistan ,Sri Lanka,Sharjah Cricket Stadium,Pakistan ,1,Pakistan,Sri Lanka
October,1999,Pakistan ,West Indies,Sharjah Cricket Stadium,Pakistan ,1,Pakistan,West Indies
October,1999,Pakistan ,Sri Lanka,Sharjah Cricket Stadium,Pakistan ,1,Pakistan,Sri Lanka
August,1999,Australia ,India,Sinhalese Sports Club Ground,Australia ,1,Australia,India
August,1999,Sri Lanka ,India,Sinhalese Sports Club Ground,India ,0,Sri Lanka,India
May,1999,Australia ,New Zealand,Sophia Gardens,New Zealand ,0,Australia,New Zealand
January,1999,South Africa ,West Indies,St George's Park,South Africa ,1,South Africa,West Indies
February,1999,South Africa ,West Indies,SuperSport Park,South Africa ,1,South Africa,West Indies
January,1999,Australia ,England,Sydney Cricket Ground,England ,0,Australia,England
January,1999,Australia ,Sri Lanka,Sydney Cricket Ground,Australia ,1,Australia,Sri Lanka
February,1999,England ,Sri Lanka,Sydney Cricket Ground,Sri Lanka ,0,England,Sri Lanka
February,1999,Australia ,England,Sydney Cricket Ground,Australia ,1,Australia,England
February,1999,Australia ,England,Sydney Cricket Ground,Australia ,1,Australia,England
June,1999,Pakistan ,South Africa,Trent Bridge,South Africa ,0,Pakistan,South Africa
June,1999,India ,New Zealand,Trent Bridge,New Zealand ,0,India,New Zealand
March,1999,India ,Sri Lanka,Vidarbha Cricket Association Ground,India ,1,India,Sri Lanka
January,1999,England ,Sri Lanka,WACA Ground,England ,1,England,Sri Lanka
January,1999,Australia ,Sri Lanka,WACA Ground,Australia ,1,Australia,Sri Lanka
January,1999,South Africa ,West Indies,Wanderers Stadium,South Africa ,1,South Africa,West Indies
January,2000,Australia ,India,Adelaide Oval,Australia ,1,Australia,India
January,2000,India ,Pakistan,Adelaide Oval,India ,1,India,Pakistan
February,2000,New Zealand ,Australia,AMI Stadium,Australia ,0,New Zealand,Australia
January,2000,New Zealand ,West Indies,AMI Stadium,New Zealand ,1,New Zealand,West Indies
April,2000,West Indies ,Pakistan,Arnos Vale Ground,West Indies ,1,West Indies,Pakistan
May,2000,Bangladesh ,India,Bangabandhu National Stadium,India ,0,Bangladesh,India
June,2000,Bangladesh ,Pakistan,Bangabandhu National Stadium,Pakistan ,0,Bangladesh,Pakistan
June,2000,India ,Pakistan,Bangabandhu National Stadium,Pakistan ,0,India,Pakistan
June,2000,Pakistan ,Sri Lanka,Bangabandhu National Stadium,Pakistan ,1,Pakistan,Sri Lanka
June,2000,Pakistan ,Sri Lanka,Bangabandhu National Stadium,Pakistan ,1,Pakistan,Sri Lanka
May,2000,Bangladesh ,Sri Lanka,Bangabandhu National Stadium,Sri Lanka ,0,Bangladesh,Sri Lanka
June,2000,India ,Sri Lanka,Bangabandhu National Stadium,Sri Lanka ,0,India,Sri Lanka
January,2000,India ,Pakistan,Bellerive Oval,Pakistan ,0,India,Pakistan
January,2000,Australia ,Pakistan,Brisbane Cricket Ground,Pakistan ,0,Australia,Pakistan
January,2000,India ,Pakistan,Brisbane Cricket Ground,Pakistan ,0,India,Pakistan
February,2000,South Africa ,England,Buffalo Park,South Africa ,1,South Africa,England
December,2000,South Africa ,Sri Lanka,Buffalo Park,South Africa ,1,South Africa,Sri Lanka
February,2000,New Zealand ,Australia,Carisbrook,Australia ,0,New Zealand,Australia
October,2000,South Africa ,New Zealand,Diamond Oval,South Africa ,1,South Africa,New Zealand
February,2000,New Zealand ,Australia,Eden Park,Australia ,0,New Zealand,Australia
January,2000,New Zealand ,West Indies,Eden Park,New Zealand ,1,New Zealand,West Indies
March,2000,New Zealand ,Australia,Eden Park,New Zealand ,1,New Zealand,Australia
January,2000,New Zealand ,West Indies,Eden Park,New Zealand ,1,New Zealand,West Indies
August,2000,Australia ,South Africa,Etihad Stadium,Australia ,1,Australia,South Africa
August,2000,Australia ,South Africa,Etihad Stadium,South Africa ,0,Australia,South Africa
October,2000,Pakistan ,England,Gaddafi Stadium,Pakistan ,1,Pakistan,England
February,2000,Pakistan ,Sri Lanka,Gaddafi Stadium,Sri Lanka ,0,Pakistan,Sri Lanka
July,2000,Sri Lanka ,Pakistan,Galle International Stadium,Sri Lanka ,1,Sri Lanka,Pakistan
July,2000,Sri Lanka ,South Africa,Galle International Stadium,Sri Lanka ,1,Sri Lanka,South Africa
October,2000,Australia ,India,Gymkhana Club Ground,India ,0,Australia,India
October,2000,India ,South Africa,Gymkhana Club Ground,India ,1,India,South Africa
October,2000,New Zealand ,Pakistan,Gymkhana Club Ground,New Zealand ,1,New Zealand,Pakistan
October,2000,India ,New Zealand,Gymkhana Club Ground,New Zealand ,0,India,New Zealand
October,2000,Pakistan ,Sri Lanka,Gymkhana Club Ground,Pakistan ,1,Pakistan,Sri Lanka
October,2000,England ,South Africa,Gymkhana Club Ground,South Africa ,0,England,South Africa
October,2000,Sri Lanka ,West Indies,Gymkhana Club Ground,Sri Lanka ,1,Sri Lanka,West Indies
October,2000,Bangladesh ,England,Gymkhana Club Ground,England ,0,Bangladesh,England
February,2000,Pakistan ,Sri Lanka,Jinnah Stadium ,Sri Lanka ,0,Pakistan,Sri Lanka
